ideCadastro,condicao,nome,nomeParlamentar,sexo,uf,partido,dataNascimento,email
21,74467,Titular,DAMIÃO FELICIANO DA SILVA,Damião Feliciano ,masculino,PB,UNIÃO,28/04/1952,dep.damiaofeliciano@camara.leg.br
22,73460,Titular,GUSTAVO BONATO FRUET,Gustavo Fruet ,masculino,PR,PDT,18/04/1963,dep.gustavofruet@camara.leg.br
23,74471,Titular,ANDRÉ CARLOS ALVES DE PAULA FILHO,André de Paula ,masculino,PE,PSD,22/07/1961,dep.andredepaula@camara.leg.br
24,73486,Titular,DARCI POMPEO DE MATTOS,Pompeo de Mattos ,masculino,RS,PDT,12/07/1958,dep.pompeodemattos@camara.leg.br
25,73482,Titular,HENRIQUE FONTANA JÚNIOR,Henrique Fontana ,masculino,RS,PT,18/01/1960,dep.henriquefontana@camara.leg.br
26,74784,Titular,LUIZA ERUNDINA DE SOUSA,Luiza Erundina ,feminino,SP,PSOL,30/11/1934,dep.luizaerundina@camara.leg.br
27,74352,Titular,NILSON PINTO DE OLIVEIRA,Nilson Pinto ,masculino,PA,PSDB,25/03/1952,dep.nilsonpinto@camara.leg.br
28,73586,Titular,JÚLIO CÉSAR DELGADO,Júlio Delgado ,masculino,MG,PV,18/11/1966,dep.juliodelgado@camara.leg.br
29,73692,Titular,OSMAR GASPARINI TERRA,Osmar Terra ,masculino,RS,MDB,18/02/1950,dep.osmarterra@camara.leg.br
30,74383,Titular,FERNANDO LÚCIO GIACOBO,Giacobo ,masculino,PR,PL,17/12/1970,dep.giacobo@camara.leg.br
31,74400,Titular,PAULO ROBERTO SEVERO PIMENTA,Paulo Pimenta ,masculino,RS,PT,19/03/1965,dep.paulopimenta@camara.leg.br
32,74398,Titular,MARIA DO ROSÁRIO NUNES,Maria do Rosário ,feminino,RS,PT,22/11/1966,dep.mariadorosario@camara.leg.br
33,74399,Titular,ONYX DORNELLES LORENZONI,Onyx Lorenzoni ,masculino,RS,PL,03/10/1954,dep.onyxlorenzoni@camara.leg.br
34,74052,Titular,JOÃO BOSCO DA COSTA,Bosco Costa ,masculino,SE,PL,28/09/1950,dep.boscocosta@camara.leg.br
35,74283,Titular,VICENTE PAULO DA SILVA,Vicentinho ,masculino,SP,PT,08/04/1956,dep.vicentinho@camara.leg.br
36,74270,Titular,GILBERTO NASCIMENTO SILVA,Gilberto Nascimento ,masculino,SP,PSC,09/07/1956,dep.gilbertonascimento@camara.leg.br
37,74273,Titular,JEFFERSON ALVES DE CAMPOS,Jefferson Campos ,masculino,SP,PL,26/10/1964,dep.jeffersoncampos@camara.leg.br
38,74262,Titular,CARLOS HENRIQUE FOCESI SAMPAIO,Carlos Sampaio ,masculino,SP,PSDB,31/03/1963,dep.carlossampaio@camara.leg.br
39,74159,Titular,ODAIR JOSÉ DA CUNHA,Odair Cunha ,masculino,MG,PT,18/06/1976,dep.odaircunha@camara.leg.br
40,74161,Titular,REGINALDO LÁZARO DE OLIVEIRA LOPES,Reginaldo Lopes ,masculino,MG,PT,02/04/1973,dep.reginaldolopes@camara.leg.br
41,74160,Titular,PATRUS ANANIAS DE SOUZA,Patrus Ananias ,masculino,MG,PT,26/01/1952,dep.patrusananias@camara.leg.br
42,74156,Titular,JOSÉ LEONARDO COSTA MONTEIRO,Leonardo Monteiro ,masculino,MG,PT,09/10/1951,dep.leonardomonteiro@camara.leg.br
43,74376,Titular,VANDER LUIZ DOS SANTOS LOUBET,Vander Loubet ,masculino,MS,PT,22/01/1964,dep.vanderloubet@camara.leg.br
44,74044,Titular,JOSÉ WILSON SANTIAGO,Wilson Santiago ,masculino,PB,REPUBLICANOS,10/06/1957,dep.wilsonsantiago@camara.leg.br
45,73943,Titular,MARIA PERPÉTUA DE ALMEIDA,Perpétua Almeida ,feminino,AC,PCdoB,28/12/1964,dep.perpetuaalmeida@camara.leg.br
46,74371,Titular,RUBENS OTONI GOMIDE,Rubens Otoni ,masculino,GO,PT,06/02/1956,dep.rubensotoni@camara.leg.br
47,74366,Titular,JOÃO CAMPOS DE ARAÚJO,João Campos ,masculino,GO,REPUBLICANOS,28/12/1962,dep.joaocampos@camara.leg.br
48,74158,Titular,MÁRIO LÚCIO HERINGER,Mário Heringer ,masculino,MG,PDT,30/09/1954,dep.marioheringer@camara.leg.br
49,133439,Titular,ANDRÉ PEIXOTO FIGUEIREDO LIMA,André Figueiredo ,masculino,CE,PDT,10/11/1966,dep.andrefigueiredo@camara.leg.br
50,136811,Titular,JOSÉ ALFONSO EBERT HAMM,Afonso Hamm ,masculino,RS,PP,25/04/1962,dep.afonsohamm@camara.leg.br
51,141335,Titular,JOSÉ ROBERTO OLIVEIRA FARO,Beto Faro ,masculino,PA,PT,20/06/1969,dep.betofaro@camara.leg.br
52,141391,Titular,ARNALDO CALIL PEREIRA JARDIM,Arnaldo Jardim ,masculino,SP,CIDADANIA,08/05/1955,dep.arnaldojardim@camara.leg.br
53,141513,Titular,OLAVO BILAC PINTO NETO,Bilac Pinto ,masculino,MG,UNIÃO,08/06/1963,dep.bilacpinto@camara.leg.br
54,141405,Titular,CELSO MALDANER,Celso Maldaner ,masculino,SC,MDB,30/08/1953,dep.celsomaldaner@camara.leg.br
55,141439,Titular,FRANCISCO JOSÉ D'ANGELO PINTO,Chico D'Angelo ,masculino,RJ,PDT,11/02/1953,dep.chicodangelo@camara.leg.br
56,141411,Titular,DAGOBERTO NOGUEIRA FILHO,Dagoberto Nogueira ,masculino,MS,PSDB,21/07/1955,dep.dagobertonogueira@camara.leg.br
57,141417,Titular,ÉDIO VIEIRA LOPES,Edio Lopes ,masculino,RR,PL,04/01/1952,dep.ediolopes@camara.leg.br
58,141421,Titular,EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA,Eduardo da Fonte ,masculino,PE,PP,17/10/1972,dep.eduardodafonte@camara.leg.br
59,141422,Titular,EFRAIM DE ARAÚJO MORAIS FILHO,Efraim Filho ,masculino,PB,UNIÃO,18/03/1979,dep.efraimfilho@camara.leg.br
60,141427,Titular,FÁBIO AUGUSTO RAMALHO DOS SANTOS,Fábio Ramalho ,masculino,MG,MDB,22/12/1961,dep.fabioramalho@camara.leg.br
61,141431,Titular,FERNANDO BEZERRA DE SOUZA COELHO FILHO,Fernando Coelho Filho ,masculino,PE,UNIÃO,28/02/1984,dep.fernandocoelhofilho@camara.leg.br
62,141434,Titular,FLAVIANO FLÁVIO BAPTISTA DE MELO,Flaviano Melo ,masculino,AC,MDB,17/11/1949,dep.flavianomelo@camara.leg.br
63,141450,Titular,HUGO LEAL MELO DA SILVA,Hugo Leal ,masculino,RJ,PSD,06/08/1962,dep.hugoleal@camara.leg.br
64,141459,Titular,JOÃO DA SILVA MAIA,João Maia ,masculino,RN,PL,20/09/1953,dep.joaomaia@camara.leg.br
65,141464,Titular,JOSÉ AIRTON FÉLIX CIRILO DA SILVA,José Airton Félix Cirilo ,masculino,CE,PT,21/02/1957,dep.joseairtonfelixcirilo@camara.leg.br
66,141470,Titular,JOSÉ NOBRE GUIMARÃES,José Guimarães ,masculino,CE,PT,13/02/1957,dep.joseguimaraes@camara.leg.br
67,141508,Titular,MAURO NAZIF RASUL,Mauro Nazif ,masculino,RO,PSB,30/01/1959,dep.mauronazif@camara.leg.br
68,141518,Titular,PAULO PEREIRA DA SILVA,Paulinho da Força,masculino,SP,SOLIDARIEDADE,24/02/1956,dep.paulinhodaforca@camara.leg.br
69,141516,Titular,PAULO ABI-ACKEL,Paulo Abi-Ackel,masculino,MG,PSDB,21/06/1963,dep.pauloabiackel@camara.leg.br
70,141488,Titular,LUIZ PAULO TEIXEIRA FERREIRA,Paulo Teixeira ,masculino,SP,PT,06/05/1961,dep.pauloteixeira@camara.leg.br
71,141523,Titular,RAUL JEAN LOUIS HENRY JÚNIOR,Raul Henry ,masculino,PE,MDB,06/06/1964,dep.raulhenry@camara.leg.br
72,141531,Titular,RODRIGO BATISTA DE CASTRO,Rodrigo de Castro ,masculino,MG,UNIÃO,15/07/1971,dep.rodrigodecastro@camara.leg.br
73,141553,Titular,VANDERLEI MACRIS,Vanderlei Macris ,masculino,SP,PSDB,20/05/1950,dep.vanderleimacris@camara.leg.br
74,141555,Titular,VINICIUS RAPOZO DE CARVALHO,Vinicius Carvalho ,masculino,SP,REPUBLICANOS,07/01/1966,dep.viniciuscarvalho@camara.leg.br
75,141398,Titular,CARLOS ALBERTO ROLIM ZARATTINI,Carlos Zarattini ,masculino,SP,PT,08/06/1959,dep.carloszarattini@camara.leg.br
76,146307,Titular,NERI GELLER,Neri Geller ,masculino,MT,PP,07/11/1968,dep.nerigeller@camara.leg.br
77,151208,Titular,LAERCIO JOSÉ DE OLIVEIRA,Laercio Oliveira ,masculino,SE,PP,15/04/1959,dep.laerciooliveira@camara.leg.br
78,152610,Titular,BENEDITO ROBERTO ALVES FERREIRA,Roberto Alves ,masculino,SP,REPUBLICANOS,27/05/1960,dep.robertoalves@camara.leg.br
79,152605,Titular,GLAUBER DE MEDEIROS BRAGA,Glauber Braga ,masculino,RJ,PSOL,26/06/1982,dep.glauberbraga@camara.leg.br
80,154178,Titular,MILTON VIEIRA PINTO,Milton Vieira ,masculino,SP,REPUBLICANOS,16/09/1962,dep.miltonvieira@camara.leg.br
81,160541,Titular,ARTHUR CÉSAR PEREIRA DE LIRA,Arthur Lira ,masculino,AL,PP,25/06/1969,dep.arthurlira@camara.leg.br
82,160641,Titular,MARCIVANIA DO SOCORRO DA ROCHA FLEXA,Professora Marcivania ,feminino,AP,PCdoB,21/06/1973,dep.professoramarcivania@camara.leg.br
83,160591,Titular,VINICIUS DE AZEVEDO GURGEL,Vinicius Gurgel ,masculino,AP,PL,31/07/1978,dep.viniciusgurgel@camara.leg.br
84,160645,Titular,LUIZ CARLOS GOMES DOS SANTOS JUNIOR,Luiz Carlos ,masculino,AP,PSDB,16/08/1979,dep.luizcarlos@camara.leg.br
85,160669,Titular,GENECIAS MATEUS NORONHA,Genecias Noronha ,masculino,CE,PL,13/03/1963,dep.geneciasnoronha@camara.leg.br
86,143632,Titular,DOMINGOS GOMES DE AGUIAR NETO,Domingos Neto ,masculino,CE,PSD,29/04/1988,dep.domingosneto@camara.leg.br
87,160575,Titular,ÉRIKA JUCÁ KOKAY,Erika Kokay ,feminino,DF,PT,15/08/1957,dep.erikakokay@camara.leg.br
88,160534,Titular,LAURIETE RODRIGUES DE JESUS,Lauriete ,feminino,ES,PSC,23/02/1970,dep.lauriete@camara.leg.br
89,160517,Titular,PAULO ROBERTO FOLETTO,Paulo Foletto ,masculino,ES,PSB,30/04/1956,dep.paulofoletto@camara.leg.br
90,160598,Titular,FLÁVIA CARREIRO ALBUQUERQUE MORAIS,Flávia Morais ,feminino,GO,PDT,26/04/1969,dep.flaviamorais@camara.leg.br
91,160599,Titular,DIMAS FABIANO TOLEDO JÚNIOR,Dimas Fabiano ,masculino,MG,PP,23/05/1973,dep.dimasfabiano@camara.leg.br
92,160632,Titular,JOSÉ SILVA SOARES,Zé Silva ,masculino,MG,SOLIDARIEDADE,11/05/1963,dep.zesilva@camara.leg.br
93,160556,Titular,JOÃO CARLOS SIQUEIRA,Padre João ,masculino,MG,PT,28/02/1967,dep.padrejoao@camara.leg.br
94,160518,Titular,WELITON FERNANDES PRADO,Weliton Prado ,masculino,MG,PROS,24/08/1975,dep.welitonprado@camara.leg.br
95,160640,Titular,EROS FERREIRA BIONDINI,Eros Biondini ,masculino,MG,PL,20/05/1971,dep.erosbiondini@camara.leg.br
96,160588,Titular,DIEGO LEONARDO DE ANDRADE CARVALHO,Diego Andrade ,masculino,MG,PSD,08/08/1977,dep.diegoandrade@camara.leg.br
97,160758,Titular,DOMINGOS SÁVIO CAMPOS RESENDE,Domingos Sávio ,masculino,MG,PL,25/03/1957,dep.domingossavio@camara.leg.br
98,160510,Titular,LUIS HENRIQUE DE OLIVEIRA RESENDE,Luis Tibé ,masculino,MG,AVANTE,23/07/1971,dep.luistibe@camara.leg.br
99,160587,Titular,FÁBIO RICARDO TRAD,Fábio Trad ,masculino,MS,PSD,18/08/1969,dep.fabiotrad@camara.leg.br
100,160527,Titular,AGUINALDO VELLOSO BORGES RIBEIRO,Aguinaldo Ribeiro ,masculino,PB,PP,13/02/1969,dep.aguinaldoribeiro@camara.leg.br
101,160674,Titular,HUGO MOTTA WANDERLEY DA NÓBREGA,Hugo Motta ,masculino,PB,REPUBLICANOS,11/09/1989,dep.hugomotta@camara.leg.br
102,160635,Titular,RUY MANUEL CARNEIRO BARBOSA DE ACA BELCHIOR,Ruy Carneiro ,masculino,PB,PSC,17/08/1970,dep.ruycarneiro@camara.leg.br
103,160665,Titular,AUGUSTO RODRIGUES COUTINHO DE MELO,Augusto Coutinho ,masculino,PE,REPUBLICANOS,22/10/1962,dep.augustocoutinho@camara.leg.br
104,160528,Titular,DANILO JORGE DE BARROS CABRAL,Danilo Cabral ,masculino,PE,PSB,21/04/1967,dep.danilocabral@camara.leg.br
105,160642,Titular,FRANCISCO EURICO DA SILVA,Pastor Eurico ,masculino,PE,PL,12/09/1962,dep.pastoreurico@camara.leg.br
106,160592,Titular,JOSÉ CARLOS BECKER DE OLIVEIRA E SILVA,Zeca Dirceu ,masculino,PR,PT,21/06/1978,dep.zecadirceu@camara.leg.br
107,160621,Titular,SANDRO ALEX CRUZ DE OLIVEIRA,Sandro Alex ,masculino,PR,PSD,25/11/1972,dep.sandroalex@camara.leg.br
108,160511,Titular,ALESSANDRO LUCCIOLA MOLON,Alessandro Molon ,masculino,RJ,PSB,28/10/1971,dep.alessandromolon@camara.leg.br
109,122158,Titular,PEDRO PAULO CARVALHO TEIXEIRA,Pedro Paulo ,masculino,RJ,PSD,29/06/1972,dep.pedropaulo@camara.leg.br
110,160512,Titular,AUREO LIDIO MOREIRA RIBEIRO,Aureo Ribeiro ,masculino,RJ,SOLIDARIEDADE,17/02/1979,dep.aureoribeiro@camara.leg.br
111,160531,Titular,JOHNATHAN PEREIRA DE JESUS,Jhonatan de Jesus ,masculino,RR,REPUBLICANOS,03/09/1983,dep.jhonatandejesus@camara.leg.br
112,160570,Titular,JERÔNIMO PIZZOLOTTO GOERGEN,Jerônimo Goergen ,masculino,RS,PP,20/01/1976,dep.jeronimogoergen@camara.leg.br
113,160673,Titular,GIOVANI CHERINI,Giovani Cherini ,masculino,RS,PL,23/06/1960,dep.giovanicherini@camara.leg.br
114,160538,Titular,ELVINO JOSÉ BOHN GASS,Bohn Gass ,masculino,RS,PT,05/02/1962,dep.bohngass@camara.leg.br
115,160535,Titular,DIONILSO MATEUS MARCON,Marcon ,masculino,RS,PT,21/09/1964,dep.marcon@camara.leg.br
116,160552,Titular,DANRLEI DE DEUS HINTERHOLZ,Danrlei de Deus Hinterholz ,masculino,RS,PSD,18/04/1973,dep.danrleidedeushinterholz@camara.leg.br
117,160559,Titular,ALCEU MOREIRA DA SILVA,Alceu Moreira ,masculino,RS,MDB,04/06/1954,dep.alceumoreira@camara.leg.br
118,160604,Titular,PEDRO FRANCISCO UCZAI,Pedro Uczai ,masculino,SC,PT,10/03/1963,dep.pedrouczai@camara.leg.br
119,160651,Titular,ROGÉRIO MENDONÇA,Rogério Peninha Mendonça ,masculino,SC,MDB,27/01/1953,dep.rogeriopeninhamendonca@camara.leg.br
120,160601,Titular,MARCO ANTÔNIO FELICIANO,Pr. Marco Feliciano ,masculino,SP,PL,12/10/1972,dep.pr.marcofeliciano@camara.leg.br
121,160976,Titular,FRANCISCO EVERARDO TIRIRICA OLIVEIRA SILVA,Tiririca ,masculino,SP,PL,01/05/1965,dep.tiririca@camara.leg.br
122,160558,Titular,PAULO ROBERTO FREIRE DA COSTA,Paulo Freire Costa ,masculino,SP,PL,14/02/1955,dep.paulofreirecosta@camara.leg.br
123,160545,Titular,ALEXANDRE LEITE DA SILVA,Alexandre Leite ,masculino,SP,UNIÃO,18/04/1989,dep.alexandreleite@camara.leg.br
124,160532,Titular,ADRIANO ELI CORRÊA,Eli Corrêa Filho ,masculino,SP,UNIÃO,13/01/1976,dep.elicorreafilho@camara.leg.br
125,160667,Titular,GUILHERME MUSSI FERREIRA,Guilherme Mussi ,masculino,SP,PP,14/10/1982,dep.guilhermemussi@camara.leg.br
126,160653,Titular,ROBERTO ALVES DE LUCENA,Roberto de Lucena ,masculino,SP,REPUBLICANOS,18/04/1966,dep.robertodelucena@camara.leg.br
127,160655,Titular,RICARDO IZAR JUNIOR,Ricardo Izar ,masculino,SP,REPUBLICANOS,01/08/1968,dep.ricardoizar@camara.leg.br
128,160639,Titular,MARIA AUXILIADORA SEABRA REZENDE,Professora Dorinha Seabra Rezende,feminino,TO,UNIÃO,01/10/1964,dep.professoradorinhaseabrarezende@camara.leg.br
129,162332,Titular,LUIZ HILOSHI NISHIMORI,Luiz Nishimori ,masculino,PR,PSD,09/04/1949,dep.luiznishimori@camara.leg.br
130,75431,Titular,MAURÍCIO ALEXANDRE DZIEDRICKI,Maurício Dziedricki ,masculino,RS,PODE,26/07/1979,dep.mauriciodziedricki@camara.leg.br
131,92776,Titular,STEFANO AGUIAR DOS SANTOS,Stefano Aguiar ,masculino,MG,PSD,03/03/1976,dep.stefanoaguiar@camara.leg.br
132,164359,Titular,WALDIR SOARES DE OLIVEIRA,Delegado Waldir ,masculino,GO,UNIÃO,28/11/1962,dep.delegadowaldir@camara.leg.br
133,164360,Titular,CARMEN EMÍLIA BONFÁ ZANOTTO,Carmen Zanotto ,feminino,SC,CIDADANIA,06/10/1962,dep.carmenzanotto@camara.leg.br
134,166402,Titular,MAGDA MOFATTO HON,Magda Mofatto ,feminino,GO,PL,26/10/1948,dep.magdamofatto@camara.leg.br
135,171617,Titular,PAULO FERNANDO DOS SANTOS,Paulão ,masculino,AL,PT,15/09/1957,dep.paulao@camara.leg.br
136,171623,Titular,FABIO DE ALMEIDA REIS,Fabio Reis ,masculino,SE,PSD,15/04/1977,dep.fabioreis@camara.leg.br
137,177282,Titular,LUIZ GONZAGA RIBEIRO,Subtenente Gonzaga ,masculino,MG,PSD,31/05/1962,dep.subtenentegonzaga@camara.leg.br
138,204422,Titular,OSSESIO JOSE DA SILVA,Ossesio Silva ,masculino,PE,REPUBLICANOS,09/12/1954,dep.ossesiosilva@camara.leg.br
139,204384,Titular,NEY LEPREVOST NETO,Ney Leprevost ,masculino,PR,UNIÃO,26/10/1973,dep.neyleprevost@camara.leg.br
140,204480,Titular,ROGÉRIO CORREIA DE MOURA BAPTISTA,Rogério Correia ,masculino,MG,PT,11/01/1958,dep.rogeriocorreia@camara.leg.br
141,178829,Titular,JOSE AUGUSTO ROSA,Capitão Augusto ,masculino,SP,PL,04/10/1966,dep.capitaoaugusto@camara.leg.br
142,178831,Titular,ANDRE DOS SANTOS ABDON,André Abdon ,masculino,AP,PP,10/11/1970,dep.andreabdon@camara.leg.br
143,178832,Titular,LEANDRE DAL PONTE,Leandre ,feminino,PR,PSD,20/12/1975,dep.leandre@camara.leg.br
144,204433,Titular,MARCELO CALERO FARIA GARCIA,Marcelo Calero ,masculino,RJ,PSD,07/07/1982,dep.marcelocalero@camara.leg.br
145,178835,Titular,AFONSO ANTUNES DA MOTTA,Afonso Motta ,masculino,RS,PDT,08/01/1950,dep.afonsomotta@camara.leg.br
146,74646,Titular,AÉCIO NEVES DA CUNHA,Aécio Neves ,masculino,MG,PSDB,10/03/1960,dep.aecioneves@camara.leg.br
147,133968,Titular,Paulo Sérgio Ramos Barboza,Paulo Ramos ,masculino,RJ,PDT,18/10/1944,dep.pauloramos@camara.leg.br
148,74478,Titular,LUCIANO CALDAS BIVAR,Luciano Bivar ,masculino,PE,UNIÃO,29/11/1944,dep.lucianobivar@camara.leg.br
149,73604,Titular,RUI GOETHE DA COSTA FALCÃO,Rui Falcão ,masculino,SP,PT,26/11/1943,dep.ruifalcao@camara.leg.br
150,178836,Titular,ALAN RICK MIRANDA,Alan Rick ,masculino,AC,UNIÃO,23/10/1976,dep.alanrick@camara.leg.br
151,178839,Titular,JESSICA ROJAS SALES,Jéssica Sales ,feminino,AC,MDB,28/11/1980,dep.jessicasales@camara.leg.br
152,178843,Titular,MARX BELTRÃO LIMA SIQUEIRA,Marx Beltrão ,masculino,AL,PP,28/11/1979,dep.marxbeltrao@camara.leg.br
153,178866,Titular,LUIZIANNE DE OLIVEIRA LINS,Luizianne Lins ,feminino,CE,PT,18/11/1968,dep.luiziannelins@camara.leg.br
154,178871,Titular,EVAIR VIEIRA DE MELO,Evair Vieira de Melo ,masculino,ES,PP,02/04/1972,dep.evairvieirademelo@camara.leg.br
155,178873,Titular,HELDER IGNACIO SALOMAO,Helder Salomão ,masculino,ES,PT,08/03/1964,dep.heldersalomao@camara.leg.br
156,178876,Titular,CELIO ANTONIO DA SILVEIRA,Célio Silveira ,masculino,GO,MDB,19/09/1959,dep.celiosilveira@camara.leg.br
157,178879,Titular,LUCAS DE CASTRO SANTOS,Lucas Vergilio ,masculino,GO,SOLIDARIEDADE,08/04/1987,dep.lucasvergilio@camara.leg.br
158,178895,Titular,MISAEL ARTUR FERREIRA VARELLA,Misael Varella ,masculino,MG,PSD,27/11/1959,dep.misaelvarella@camara.leg.br
159,178896,Titular,NEWTON CARDOSO JUNIOR,Newton Cardoso Jr ,masculino,MG,MDB,11/11/1979,dep.newtoncardosojr@camara.leg.br
160,178901,Titular,TEREZA CRISTINA CORREA DA COSTA DIAS,Tereza Cristina ,feminino,MS,PP,06/07/1954,dep.terezacristina@camara.leg.br
161,178908,Titular,EDER MAURO CARDOSO BARRA,Delegado Éder Mauro ,masculino,PA,PL,14/12/1960,dep.delegadoedermauro@camara.leg.br
162,178909,Titular,HELIO LEITE DA SILVA,Hélio Leite ,masculino,PA,UNIÃO,09/12/1957,dep.helioleite@camara.leg.br
163,178910,Titular,JOAQUIM PASSARINHO PINTO DE SOUZA PORTO,Joaquim Passarinho ,masculino,PA,PL,02/12/1961,dep.joaquimpassarinho@camara.leg.br
164,178916,Titular,DANIEL PIRES COELHO,Daniel Coelho ,masculino,PE,CIDADANIA,04/11/1978,dep.danielcoelho@camara.leg.br
165,72442,Titular,FELIPE AUGUSTO LYRA CARRERAS,Felipe Carreras ,masculino,PE,PSB,16/04/1975,dep.felipecarreras@camara.leg.br
166,178920,Titular,RICARDO TEOBALDO CAVALCANTI,Ricardo Teobaldo ,masculino,PE,PODE,18/10/1965,dep.ricardoteobaldo@camara.leg.br
167,178921,Titular,SEBASTIAO IGNACIO DE OLIVEIRA JUNIOR,Sebastião Oliveira ,masculino,PE,AVANTE,31/08/1968,dep.sebastiaooliveira@camara.leg.br
168,178922,Titular,FRANCISCO TADEU BARBOSA DE ALENCAR,Tadeu Alencar ,masculino,PE,PSB,08/04/1963,dep.tadeualencar@camara.leg.br
169,178924,Titular,FABIO ABREU COSTA,Capitão Fábio Abreu ,masculino,PI,PSD,31/12/1972,dep.capitaofabioabreu@camara.leg.br
170,178925,Titular,REJANE RIBEIRO SOUSA DIAS,Rejane Dias ,feminino,PI,PT,04/09/1972,dep.rejanedias@camara.leg.br
171,178927,Titular,ALIEL MACHADO BARK,Aliel Machado ,masculino,PR,PV,26/02/1989,dep.alielmachado@camara.leg.br
172,178928,Titular,CHRISTIANE DE SOUZA YARED,Christiane de Souza Yared ,feminino,PR,PP,23/02/1960,dep.christianedesouzayared@camara.leg.br
173,178929,Titular,DIEGO ALEXSANDER GONCALO PAULA GARCIA,Diego Garcia ,masculino,PR,REPUBLICANOS,10/10/1984,dep.diegogarcia@camara.leg.br
174,132504,Titular,ENIO JOSÉ VERRI,Enio Verri ,masculino,PR,PT,27/03/1961,dep.enioverri@camara.leg.br
175,178931,Titular,LUCIANO DUCCI,Luciano Ducci ,masculino,PR,PSB,23/03/1955,dep.lucianoducci@camara.leg.br
176,178933,Titular,SERGIO DE SOUZA,Sergio Souza ,masculino,PR,MDB,13/03/1971,dep.sergiosouza@camara.leg.br
177,178934,Titular,ANTONIO WANDSCHEER,Toninho Wandscheer ,masculino,PR,PROS,31/08/1950,dep.toninhowandscheer@camara.leg.br
178,178937,Titular,ALTINEU CÔRTES FREITAS COUTINHO,Altineu Côrtes ,masculino,RJ,PL,13/09/1968,dep.altineucortes@camara.leg.br
179,178939,Titular,CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA,Clarissa Garotinho ,feminino,RJ,UNIÃO,02/07/1982,dep.clarissagarotinho@camara.leg.br
180,178945,Titular,ROSANGELA DE SOUZA GOMES,Rosangela Gomes ,feminino,RJ,REPUBLICANOS,27/12/1966,dep.rosangelagomes@camara.leg.br
